"","TaskPit - 打鍵回数","ブラウザ - 打鍵回数","メール - 打鍵回数","プログラミング - 打鍵回数","ワード - 打鍵回数","プレゼン編集 - 打鍵回数","エクセル - 打鍵回数","ファイル操作 - 打鍵回数","文書閲覧　 - 打鍵回数","調査　 - 打鍵回数","SQLサーバ　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ　 - 打鍵回数","登録外 - 打鍵回数"
"2013年02月05日15時40分","0","0","0","0","0","0","257","0","0","20","0","0","0","5"
"2013年02月05日15時45分","0","0","0","0","0","0","9","0","0","41","0","0","0","0"
"2013年02月05日15時50分","0","0","0","0","0","0","48","0","0","22","0","0","0","0"
"2013年02月05日15時55分","0","0","0","0","0","0","25","11","0","0","0","21","0","0"
"2013年02月05日16時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時05分","0","0","0","0","0","0","0","0","0","0","0","64","0","0"
"2013年02月05日16時10分","0","0","0","0","0","0","1","0","0","0","0","156","0","0"
"2013年02月05日16時15分","0","0","0","0","0","0","65","1","0","0","0","80","0","1"
"2013年02月05日16時20分","0","453","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時25分","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時30分","0","0","41","0","0","0","0","110","0","0","0","37","0","0"
"2013年02月05日16時35分","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"2013年02月05日16時40分","0","0","0","0","0","0","0","2","0","0","0","74","0","0"
"2013年02月05日16時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","62"
"2013年02月05日16時55分","0","0","0","0","0","0","0","1","0","0","0","19","0","27"
"2013年02月05日17時00分","0","0","0","0","0","0","0","0","0","0","0","20","0","0"
"2013年02月05日17時05分","0","12","10","0","0","0","0","9","0","0","0","0","0","0"
"2013年02月05日17時10分","0","3","0","0","0","0","0","0","0","0","0","10","0","0"
"2013年02月05日17時15分","0","11","0","0","0","0","22","1","0","0","0","57","0","0"
"2013年02月05日17時20分","0","0","0","0","0","0","0","0","0","0","0","84","0","0"
"2013年02月05日17時25分","0","115","0","0","0","0","0","0","0","0","0","3","0","0"
"2013年02月05日17時30分","0","286","0","0","0","0","0","2","0","0","0","1","0","10"
"2013年02月05日17時35分","0","0","0","0","0","0","0","0","0","63","0","0","0","1"
"2013年02月05日17時40分","0","0","0","0","0","0","0","0","0","31","0","0","0","0"
"2013年02月05日17時45分","0","0","0","0","0","0","0","0","0","80","0","0","0","0"
"2013年02月05日17時50分","0","0","9","0","0","0","0","53","0","0","0","0","0","0"
"2013年02月05日17時55分","0","0","0","0","0","0","0","86","0","19","0","0","0","0"
"2013年02月05日18時00分","0","0","0","0","0","0","0","0","0","9","0","0","0","34"
"2013年02月05日18時05分","0","0","14","0","0","0","0","14","0","3","0","0","0","5"
"2013年02月05日18時10分","0","0","0","0","0","0","0","0","0","6","0","0","0","37"
"2013年02月05日18時15分","0","0","0","0","0","0","0","0","0","38","0","0","0","38"
"2013年02月05日18時20分","0","0","0","0","0","0","0","0","0","12","0","0","0","0"
"2013年02月05日18時25分","0","0","0","0","0","0","0","0","0","16","0","0","0","2"
"2013年02月05日18時30分","0","0","0","0","0","0","0","4","0","3","0","0","0","3"
"2013年02月05日18時35分","0","0","0","0","0","0","0","8","0","0","0","0","0","45"
"2013年02月05日18時40分","0","0","0","0","0","0","0","3","0","12","0","23","0","1"
"2013年02月05日18時45分","0","0","3","0","0","0","1","7","0","12","0","12","0","5"
"2013年02月05日18時50分","0","0","4","0","0","0","0","3","0","39","0","0","0","8"
"2013年02月05日18時55分","0","0","0","0","0","0","0","3","0","0","0","0","0","5"
"2013年02月05日19時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時30分","0","0","0","0","0","0","0","0","0","3","0","0","0","34"
"2013年02月05日19時35分","0","0","0","0","0","0","0","4","0","7","0","0","0","19"
"2013年02月05日19時40分","0","0","0","0","0","0","0","10","0","0","0","19","0","0"
"2013年02月05日19時45分","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"2013年02月05日19時50分","0","0","0","0","0","0","0","6","0","0","0","3","0","1"
"2013年02月05日19時55分","0","0","0","0","0","0","0","0","0","2","0","0","0","1"
"2013年02月05日20時00分","0","0","1","0","0","0","0","2","0","0","0","0","0","4"
"2013年02月05日20時05分","0","0","0","0","0","0","0","21","0","0","0","8","0","0"
"2013年02月05日20時10分","0","0","0","0","0","0","0","5","0","17","0","0","0","3"
"2013年02月05日20時15分","0","0","0","0","0","0","14","16","0","0","0","0","0","3"
"2013年02月05日20時20分","0","0","0","0","0","0","0","10","0","6","0","0","0","0"
"2013年02月05日20時25分","0","0","0","0","0","0","0","0","0","6","0","0","0","1"
"2013年02月05日20時30分","0","0","0","0","0","0","0","0","0","0","0","19","0","0"
"2013年02月05日20時35分","0","0","0","0","0","0","0","0","0","0","0","8","0","0"
"2013年02月05日20時40分","0","0","0","0","0","0","0","4","0","0","0","152","0","0"
"2013年02月05日20時45分","0","2","0","0","0","0","0","18","0","95","0","8","0","0"
"2013年02月05日20時50分","0","0","0","0","0","0","0","0","0","74","0","19","0","2"
"2013年02月05日20時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時05分","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月05日21時10分","0","55","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時15分","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"2013年02月05日21時20分","0","0","0","0","0","0","1","0","0","0","0","15","0","0"
"2013年02月05日21時25分","0","14","0","0","0","0","0","0","0","0","0","136","0","0"
"2013年02月05日21時30分","0","7","0","0","0","0","0","0","0","0","0","12","0","0"
"2013年02月05日21時35分","0","0","0","0","0","0","0","1","0","0","0","6","0","0"
"2013年02月05日21時40分","0","0","0","0","0","0","0","0","0","0","0","4","0","0"
"2013年02月05日21時45分","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時50分","0","2","0","0","0","0","0","1","0","0","0","0","0","0"
"2013年02月05日21時55分","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時30分","0","0","0","0","0","0","0","0","0","0","0","10","0","0"
"2013年02月05日22時35分","0","0","0","0","0","0","0","0","0","0","0","12","0","0"
"2013年02月05日22時40分","0","0","0","0","0","0","0","0","0","0","0","9","0","0"
"2013年02月05日22時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日23時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日23時05分","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日23時10分","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"2013年02月05日23時15分","0","39","2","0","0","0","0","0","0","0","0","0","0","0"
