"","TaskPit","ブラウザ","メール","プログラミング","ワード","プレゼン編集","エクセル","ファイル操作","文書閲覧","調査","SQLサーバ","テスト","プログラミング・デバッグ","登録外"
"2013年02月04日14時25分","0","8","0","0","0","0","115","46","0","0","0","127","0","0"
"2013年02月04日14時30分","0","0","0","0","0","0","299","0","0","0","0","0","0","0"
"2013年02月04日14時35分","0","0","0","0","0","0","288","2","0","6","0","0","0","0"
"2013年02月04日14時40分","0","85","0","0","0","0","159","47","0","0","0","0","0","0"
"2013年02月04日14時45分","0","0","0","0","0","0","214","52","0","4","0","4","0","22"
"2013年02月04日14時50分","0","0","0","0","0","0","108","176","0","0","0","0","0","11"
"2013年02月04日14時55分","0","0","0","0","0","0","80","216","0","0","0","0","0","0"
"2013年02月04日15時00分","0","0","0","0","0","0","146","53","0","0","0","95","0","3"
"2013年02月04日15時05分","0","79","0","0","0","0","78","2","0","0","0","103","0","34"
"2013年02月04日15時10分","0","0","1","0","0","0","27","4","0","0","0","263","0","3"
"2013年02月04日15時15分","0","0","32","0","0","0","81","0","0","0","0","129","0","0"
"2013年02月04日15時20分","0","0","20","0","0","0","31","0","0","0","0","0","0","22"
"2013年02月04日15時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時30分","0","0","0","0","0","0","124","0","0","0","0","14","0","0"
"2013年02月04日15時35分","0","0","0","0","0","0","82","4","0","0","0","199","0","12"
"2013年02月04日15時40分","0","0","191","0","0","0","61","0","0","0","0","45","0","0"
"2013年02月04日15時45分","0","39","152","0","0","0","31","75","0","0","0","0","0","0"
"2013年02月04日15時50分","0","0","0","0","0","0","61","2","0","0","0","230","0","0"
"2013年02月04日15時55分","0","0","35","0","0","0","75","47","0","0","0","139","0","0"
"2013年02月04日16時00分","0","0","6","0","0","0","140","48","0","2","0","91","0","11"
"2013年02月04日16時05分","0","0","0","0","0","0","296","0","0","2","0","0","0","0"
"2013年02月04日16時10分","0","33","0","0","0","21","230","12","0","0","0","0","0","0"
"2013年02月04日16時15分","0","83","0","0","0","16","198","0","0","0","0","0","0","0"
"2013年02月04日16時20分","0","5","100","0","0","0","139","40","0","0","0","0","0","13"
"2013年02月04日16時25分","0","0","0","0","0","0","30","75","0","0","0","0","0","0"
"2013年02月04日16時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時35分","0","201","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時40分","0","197","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時55分","0","0","0","0","0","0","55","162","0","0","0","2","0","0"
"2013年02月04日17時00分","0","0","47","0","0","4","23","19","0","0","0","0","0","9"
"2013年02月04日17時05分","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時10分","0","40","19","0","0","0","47","172","0","0","0","0","0","16"
"2013年02月04日17時15分","0","0","0","0","0","0","0","15","0","0","0","0","0","0"
"2013年02月04日17時20分","0","0","130","0","0","0","0","52","0","0","0","0","0","0"
"2013年02月04日17時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時40分","7","1","0","0","0","0","0","133","0","0","0","0","0","13"
"2013年02月04日17時45分","0","0","0","0","0","1","77","31","0","7","0","172","0","7"
"2013年02月04日17時50分","0","0","0","0","0","0","42","41","0","0","0","210","0","0"
"2013年02月04日17時55分","0","0","0","0","0","0","0","53","0","0","0","227","0","16"
"2013年02月04日18時00分","0","0","0","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月04日18時05分","0","0","0","0","0","0","0","169","0","0","0","110","0","16"
"2013年02月04日18時10分","0","14","8","0","0","0","205","62","0","0","0","0","0","3"
"2013年02月04日18時15分","4","0","2","0","0","0","64","196","0","0","0","0","0","29"
"2013年02月04日18時20分","0","0","0","0","0","0","0","194","0","0","0","0","0","1"
"2013年02月04日18時25分","0","65","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時30分","0","215","0","0","0","0","0","0","0","0","0","0","0","82"
"2013年02月04日18時35分","0","38","0","0","0","0","0","0","0","0","0","0","0","259"
"2013年02月04日18時40分","0","56","0","0","0","0","0","38","0","7","0","0","0","196"
"2013年02月04日18時45分","0","0","0","0","0","0","0","90","0","207","0","0","0","0"
"2013年02月04日18時50分","0","49","0","0","0","0","0","64","0","184","0","0","0","0"
"2013年02月04日18時55分","0","3","0","0","0","0","0","3","0","284","0","0","0","8"
"2013年02月04日19時00分","0","0","0","0","0","0","0","0","0","298","0","0","0","0"
"2013年02月04日19時05分","0","2","0","0","0","0","12","24","0","208","0","40","0","8"
"2013年02月04日19時10分","0","41","35","0","0","0","23","3","0","143","0","0","0","49"
"2013年02月04日19時15分","0","135","0","0","0","0","122","37","0","0","0","0","0","3"
