"","TaskPit","ブラウザ","メール","プログラミング","ワード","プレゼン編集","データ分析","ファイル操作","文書閲覧","調査","SQLサーバ","テスト","プログラミング・デバッグ","登録外"
"2013年02月04日16時15分","0","0","0","0","0","0","140","25","0","0","0","82","0","47"
"2013年02月04日16時20分","0","0","0","0","0","0","19","273","0","0","0","1","0","5"
"2013年02月04日16時25分","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"2013年02月04日16時30分","0","0","0","0","0","0","0","10","0","2","6","3","0","5"
"2013年02月04日16時35分","0","2","5","0","0","0","0","26","0","0","0","6","0","189"
"2013年02月04日16時40分","0","0","2","0","0","0","0","1","0","162","0","0","0","1"
"2013年02月04日16時45分","0","0","260","0","0","0","0","0","0","37","0","0","0","0"
"2013年02月04日16時50分","0","0","101","0","0","0","0","177","0","17","0","0","0","0"
"2013年02月04日16時55分","0","0","21","0","0","0","16","247","0","4","0","4","0","3"
"2013年02月04日17時00分","0","0","2","0","0","0","176","118","0","0","0","0","0","0"
"2013年02月04日17時05分","0","0","0","0","0","0","165","130","0","0","0","0","0","0"
"2013年02月04日17時10分","0","2","14","0","0","0","0","260","0","20","0","0","0","0"
"2013年02月04日17時15分","0","17","144","0","0","0","0","47","0","0","0","87","0","1"
"2013年02月04日17時20分","0","0","143","0","0","0","0","0","0","0","0","155","0","1"
"2013年02月04日17時25分","0","0","227","0","0","0","0","46","0","0","0","0","0","23"
"2013年02月04日17時30分","0","0","291","0","0","0","0","7","0","0","0","0","0","0"
"2013年02月04日17時35分","0","0","268","0","0","0","23","8","0","0","0","0","0","0"
"2013年02月04日17時40分","0","0","296","0","0","0","0","1","0","0","0","0","0","0"
"2013年02月04日17時45分","0","0","299","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時50分","0","0","170","0","0","0","0","0","0","0","0","0","0","128"
"2013年02月04日17時55分","0","2","275","0","0","0","0","17","0","0","0","0","0","2"
"2013年02月04日18時00分","0","0","0","0","0","0","0","287","0","9","0","0","0","0"
"2013年02月04日18時05分","0","0","0","0","0","0","0","79","0","11","0","0","0","208"
"2013年02月04日18時10分","0","0","0","0","0","0","0","261","0","16","0","0","0","18"
"2013年02月04日18時15分","0","0","0","0","0","0","0","123","0","83","87","0","0","0"
"2013年02月04日18時20分","0","0","0","0","0","0","0","0","0","0","300","0","0","0"
"2013年02月04日18時25分","0","0","0","0","0","0","0","50","0","34","214","0","0","0"
"2013年02月04日18時30分","0","0","0","0","0","0","0","129","0","109","56","0","0","3"
"2013年02月04日18時35分","0","0","0","0","0","0","0","0","0","39","260","0","0","0"
"2013年02月04日18時40分","0","0","0","0","0","0","0","0","0","9","291","0","0","0"
"2013年02月04日18時45分","0","0","0","0","0","0","0","0","0","0","300","0","0","0"
"2013年02月04日18時50分","0","0","0","0","0","0","0","0","0","0","300","0","0","0"
"2013年02月04日18時55分","0","0","2","0","0","0","0","0","0","0","296","0","0","1"
"2013年02月04日19時00分","0","0","4","0","0","0","0","0","0","0","295","0","0","0"
"2013年02月04日19時05分","0","0","0","0","0","0","0","0","0","7","208","0","0","84"
"2013年02月04日19時10分","0","0","0","0","0","0","0","0","0","1","299","0","0","0"
"2013年02月04日19時15分","0","0","0","0","0","0","0","0","0","0","300","0","0","0"
"2013年02月04日19時20分","0","0","6","0","0","0","0","0","0","0","293","0","0","0"
"2013年02月04日19時25分","0","0","0","0","0","0","0","5","0","19","274","0","0","0"
"2013年02月04日19時30分","0","0","0","0","0","0","0","18","0","0","237","0","0","0"
"2013年02月04日19時35分","0","38","0","0","0","0","0","0","0","0","245","0","0","16"
"2013年02月04日19時40分","0","0","0","0","0","0","0","8","0","7","210","0","0","73"
"2013年02月04日19時45分","0","0","0","0","0","0","188","29","0","75","0","0","0","0"
"2013年02月04日19時50分","0","0","0","0","0","0","96","0","0","8","192","0","0","0"
"2013年02月04日19時55分","0","0","0","0","0","0","11","9","0","45","163","0","0","66"
"2013年02月04日20時00分","0","11","0","0","0","0","0","23","0","102","57","0","0","101"
"2013年02月04日20時05分","0","0","0","0","0","0","0","56","0","132","107","0","0","0"
"2013年02月04日20時10分","0","0","0","0","0","0","17","24","0","106","34","0","0","114"
"2013年02月04日20時15分","0","0","0","0","0","0","0","2","0","256","0","0","0","38"
"2013年02月04日20時20分","0","0","0","0","0","0","0","0","0","237","0","0","0","60"
"2013年02月04日20時25分","0","0","0","0","0","0","17","0","0","212","0","0","0","65"
"2013年02月04日20時30分","0","0","0","0","0","0","0","0","0","233","16","0","0","47"
"2013年02月04日20時35分","0","0","0","0","0","0","0","0","0","285","0","0","0","12"
"2013年02月04日20時40分","0","0","0","0","0","0","0","1","0","121","148","0","0","25"
"2013年02月04日20時45分","0","0","114","0","0","0","0","20","0","115","29","0","0","16"
"2013年02月04日20時50分","0","0","0","0","0","0","0","0","0","259","5","0","0","32"
"2013年02月04日20時55分","0","0","0","0","0","0","0","0","0","117","105","0","0","77"
"2013年02月04日21時00分","0","23","16","0","0","0","22","26","0","138","20","0","0","50"
"2013年02月04日21時05分","4","183","18","0","0","0","0","33","0","0","5","0","0","50"
"2013年02月04日21時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","121"
"2013年02月04日21時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日21時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日21時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日21時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日21時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日21時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日21時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日21時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日21時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日22時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日22時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日22時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日22時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日22時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日22時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日22時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日22時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日22時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日22時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日22時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日22時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日23時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日23時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日23時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日23時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日23時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日23時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日23時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日23時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日23時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日23時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日23時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日23時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日00時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日00時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日00時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日00時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日00時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日00時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日00時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日00時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日00時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日00時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日00時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日00時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日01時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日01時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日01時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日01時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日01時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日01時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日01時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日01時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日01時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日01時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日01時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日01時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日02時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日02時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日02時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日02時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日02時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日02時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日02時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日02時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日02時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日02時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日02時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日02時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日03時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日03時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日03時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日03時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日03時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日03時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日03時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日03時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日03時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日03時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日03時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日03時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日04時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日04時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日04時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日04時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日04時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日04時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日04時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日04時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日04時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日04時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日04時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日04時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日05時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日05時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日05時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日05時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日05時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日05時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日05時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日05時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日05時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日05時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日05時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日05時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日06時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日06時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日06時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日06時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日06時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日06時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日06時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日06時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日06時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日06時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日06時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日06時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日07時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日07時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日07時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日07時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日07時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日07時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日07時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日07時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日07時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日07時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日07時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日07時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日08時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日08時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日08時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日08時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日08時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日08時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日08時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日08時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日08時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日08時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日08時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日08時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日09時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
