"","TaskPit - 打鍵回数","ブラウザ - 打鍵回数","メール - 打鍵回数","プログラミング - 打鍵回数","テキスト閲覧・編集 - 打鍵回数","プレゼン編集 - 打鍵回数","データ分析 - 打鍵回数","ファイル操作 - 打鍵回数","ネットワーク - 打鍵回数","マルチメディア - 打鍵回数","登録外 - 打鍵回数"
"2013年02月05日16時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時20分","0","0","0","0","0","0","0","18","0","0","34"
"2013年02月05日17時25分","0","0","0","0","0","0","0","25","0","0","4"
"2013年02月05日17時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時45分","0","0","0","0","0","0","0","0","0","0","2"
"2013年02月05日17時50分","0","0","0","0","0","0","6","0","0","0","0"
"2013年02月05日17時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時15分","0","0","0","0","0","0","0","6","0","0","0"
"2013年02月05日19時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時40分","0","0","0","0","0","0","42","0","0","0","0"
"2013年02月05日20時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時55分","0","0","0","0","0","0","0","0","0","0","4"
"2013年02月05日21時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時40分","0","0","0","0","0","0","0","0","0","0","33"
"2013年02月05日21時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時05分","0","0","0","0","0","0","0","0","0","0","6"
"2013年02月05日22時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時15分","0","0","0","0","0","0","0","0","0","0","57"
"2013年02月05日22時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時30分","0","0","0","0","0","0","0","0","0","0","8"
"2013年02月05日22時35分","0","0","0","0","0","0","0","0","0","0","25"
"2013年02月05日22時40分","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月05日22時45分","0","0","0","0","0","0","0","0","0","0","47"
"2013年02月05日22時50分","0","0","0","0","0","0","0","0","0","0","543"
"2013年02月05日22時55分","0","0","0","0","0","0","0","0","0","0","411"
"2013年02月05日23時00分","0","0","0","0","0","0","0","0","0","0","725"
