"","TaskPit","ブラウザ","メール","プログラミング","テキスト閲覧・編集","プレゼン編集","データ分析","ファイル操作","ネットワーク","マルチメディア","登録外"
"2013年02月05日16時35分","0","0","0","0","0","0","0","0","0","0","274"
"2013年02月05日16時40分","0","0","0","0","0","0","0","0","0","0","50"
"2013年02月05日16時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時55分","0","0","0","0","0","0","0","0","0","0","34"
"2013年02月05日17時00分","0","0","0","0","0","0","136","9","0","0","147"
"2013年02月05日17時05分","0","0","0","0","0","0","51","0","0","0","0"
"2013年02月05日17時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時20分","0","0","0","0","0","0","1","82","0","0","161"
"2013年02月05日17時25分","0","0","0","0","0","0","99","29","0","0","172"
"2013年02月05日17時30分","0","0","0","0","0","0","104","23","0","0","44"
"2013年02月05日17時35分","0","0","0","0","0","0","89","0","0","0","0"
"2013年02月05日17時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時45分","0","0","0","0","0","0","62","98","0","0","119"
"2013年02月05日17時50分","0","0","0","0","0","0","295","5","0","0","0"
"2013年02月05日17時55分","0","0","0","0","0","0","81","0","0","0","0"
"2013年02月05日18時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時30分","0","0","0","0","0","0","2","0","0","0","58"
"2013年02月05日18時35分","0","0","0","0","0","0","0","0","0","0","210"
"2013年02月05日18時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時45分","0","0","0","0","0","0","132","4","0","0","98"
"2013年02月05日18時50分","0","0","0","0","0","0","116","3","0","0","181"
"2013年02月05日18時55分","0","0","0","0","0","0","300","0","0","0","0"
"2013年02月05日19時00分","0","0","0","0","0","0","42","6","0","0","0"
"2013年02月05日19時05分","0","0","0","0","0","0","183","0","0","0","0"
"2013年02月05日19時10分","0","0","0","0","0","0","4","5","0","0","2"
"2013年02月05日19時15分","0","0","0","0","0","0","237","54","0","0","2"
"2013年02月05日19時20分","0","0","0","0","0","0","299","1","0","0","0"
"2013年02月05日19時25分","0","0","0","0","0","0","149","0","0","0","0"
"2013年02月05日19時30分","0","0","0","0","0","0","93","0","0","0","0"
"2013年02月05日19時35分","0","0","0","0","0","0","188","21","0","0","0"
"2013年02月05日19時40分","0","0","0","0","0","0","283","17","0","0","0"
"2013年02月05日19時45分","0","0","0","0","0","0","232","1","0","0","0"
"2013年02月05日19時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時40分","0","0","0","0","0","0","64","1","0","0","184"
"2013年02月05日20時45分","0","0","0","0","0","0","187","0","0","0","0"
"2013年02月05日20時50分","0","0","0","0","0","0","1","0","0","0","56"
"2013年02月05日20時55分","0","0","0","0","0","0","3","0","0","0","270"
"2013年02月05日21時35分","8","0","0","0","0","0","0","0","0","0","42"
"2013年02月05日21時40分","43","0","0","0","0","0","0","7","0","0","241"
"2013年02月05日21時45分","0","0","0","0","0","0","0","0","0","0","105"
"2013年02月05日21時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時55分","0","0","0","0","0","0","0","0","0","0","194"
"2013年02月05日22時00分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月05日22時05分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月05日22時10分","0","0","0","0","0","0","0","0","0","0","298"
"2013年02月05日22時15分","0","0","0","0","0","0","0","0","0","0","256"
"2013年02月05日22時20分","0","0","0","0","0","0","0","0","0","0","290"
"2013年02月05日22時25分","0","0","0","0","0","0","0","0","0","0","199"
"2013年02月05日22時30分","0","0","0","0","0","0","0","0","0","0","276"
"2013年02月05日22時35分","0","0","0","0","0","0","0","0","0","0","285"
"2013年02月05日22時40分","0","0","0","0","0","0","0","13","0","0","287"
"2013年02月05日22時45分","0","0","0","0","0","0","2","28","0","0","257"
"2013年02月05日22時50分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月05日22時55分","0","0","0","0","0","0","0","8","0","0","292"
"2013年02月05日23時00分","0","0","0","0","0","0","0","0","0","0","300"
