"","TaskPit - 打鍵回数","ブラウザ - 打鍵回数","メール - 打鍵回数","プログラミング - 打鍵回数","ワード - 打鍵回数","プレゼン編集 - 打鍵回数","エクセル - 打鍵回数","ファイル操作 - 打鍵回数","文書閲覧　 - 打鍵回数","調査　 - 打鍵回数","SQLサーバ　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ　 - 打鍵回数","登録外 - 打鍵回数"
"2013年02月05日13時40分","0","0","414","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時45分","0","0","183","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時50分","0","0","75","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時55分","0","0","54","20","0","0","0","0","0","0","0","0","20","0"
"2013年02月05日14時00分","0","0","0","191","0","0","0","0","0","0","0","0","191","0"
"2013年02月05日14時05分","0","276","0","176","0","0","0","13","0","0","0","0","176","0"
"2013年02月05日14時10分","0","201","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時35分","0","0","247","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時40分","0","0","90","0","0","0","0","17","0","3","0","0","0","0"
"2013年02月05日14時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時20分","0","0","0","4","0","0","66","0","0","0","0","0","4","0"
"2013年02月05日15時25分","0","0","0","45","0","0","20","2","0","0","0","0","45","0"
"2013年02月05日15時30分","0","0","0","78","0","0","46","0","0","0","0","0","78","0"
"2013年02月05日15時35分","0","0","0","65","0","0","24","2","0","0","0","0","65","0"
"2013年02月05日15時40分","0","0","0","153","0","0","24","4","0","0","0","0","153","0"
"2013年02月05日15時45分","0","0","0","43","0","0","11","2","0","0","0","0","43","0"
"2013年02月05日15時50分","0","0","0","6","0","0","0","0","0","0","0","0","6","0"
"2013年02月05日15時55分","0","0","0","13","0","0","0","0","0","0","0","0","13","0"
"2013年02月05日16時00分","0","0","0","22","0","0","4","0","0","0","0","0","22","0"
"2013年02月05日16時05分","0","1","0","21","0","0","2","15","0","0","0","0","21","0"
"2013年02月05日16時10分","0","0","0","59","0","0","9","2","0","0","0","0","59","0"
"2013年02月05日16時15分","0","1","0","0","0","0","63","6","0","0","0","0","0","0"
"2013年02月05日16時20分","0","0","0","7","0","0","0","0","0","0","0","0","7","0"
"2013年02月05日16時25分","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"2013年02月05日16時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時35分","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"2013年02月05日16時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時05分","0","0","204","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時10分","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時15分","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時10分","0","0","48","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時20分","0","0","224","0","0","0","0","2","0","0","0","0","0","0"
"2013年02月05日19時25分","0","0","6","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時40分","0","0","143","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時45分","0","0","260","0","0","0","0","29","0","0","0","0","0","0"
"2013年02月05日19時50分","0","0","265","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時55分","0","0","13","0","0","0","0","0","0","2","0","0","0","4"
"2013年02月05日20時00分","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"2013年02月05日20時05分","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"2013年02月05日20時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時15分","0","0","0","0","0","0","29","15","0","0","0","0","0","0"
"2013年02月05日21時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時25分","0","0","3","0","0","0","0","53","0","6","0","0","0","0"
"2013年02月05日21時30分","0","0","0","0","0","0","0","15","0","0","0","0","0","2"
"2013年02月05日21時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時45分","0","0","0","0","0","0","0","25","0","1","0","0","0","0"
"2013年02月05日21時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時55分","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"2013年02月05日22時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時05分","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"2013年02月05日22時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時25分","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"2013年02月05日22時30分","0","0","0","0","0","0","0","0","0","72","0","0","0","0"
"2013年02月05日22時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時50分","0","0","0","0","0","0","0","0","0","10","0","0","0","0"
"2013年02月05日22時55分","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"2013年02月05日23時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日23時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日23時10分","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"2013年02月05日23時15分","0","90","0","0","0","0","0","0","0","0","0","0","0","0"
