"","TaskPit","ブラウザ","メール","プログラミング","ワード","プレゼン編集","エクセル","ファイル操作","文書閲覧　","調査　","SQLサーバ　","テスト　","プログラミング・デバッグ　","登録外"
"2013年02月05日21時15分","0","0","10","0","0","0","95","71","0","0","0","0","0","52"
"2013年02月05日21時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","105"
"2013年02月05日21時25分","0","0","18","0","0","0","0","81","0","10","0","0","0","0"
"2013年02月05日21時30分","0","0","162","0","0","0","0","44","0","2","0","0","0","1"
"2013年02月05日21時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時45分","0","0","0","0","0","0","0","185","0","6","0","0","0","0"
"2013年02月05日21時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時55分","0","0","0","0","0","0","0","101","0","16","0","0","0","0"
"2013年02月05日22時00分","0","0","0","0","0","0","0","53","0","10","0","0","0","0"
"2013年02月05日22時05分","0","0","5","0","0","0","0","93","0","7","0","0","0","0"
"2013年02月05日22時10分","0","0","0","0","0","0","0","76","0","0","0","0","0","0"
"2013年02月05日22時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時25分","0","0","0","0","0","0","0","0","0","43","0","0","0","0"
"2013年02月05日22時30分","0","0","7","0","0","0","0","100","0","89","0","0","0","37"
"2013年02月05日22時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時50分","0","0","0","0","0","0","0","40","0","60","0","0","0","0"
"2013年02月05日22時55分","0","0","0","0","0","0","0","49","0","158","0","0","0","0"
"2013年02月05日23時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日23時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日23時10分","0","0","0","0","0","0","0","150","0","0","0","0","0","0"
"2013年02月05日23時15分","0","89","0","0","0","0","0","30","0","0","0","0","0","0"
